zpid,Address,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,is_bankOwned,isUnmappable,isPreforeclosureAuction,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedvalue,lotAreaValue,lotAreaUnit
37511562,9100 Fairgreen Ct,20772,Upper Marlboro,MD,38.7636,-76.8029,425000.0,3,4,2388.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,419900.0,0.38259871441689625,acres
37129341,9911 Dilston Rd,20903,Silver Spring,MD,39.01821,-76.97845,450000.0,2,3,1617.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,323800.0,6270.0,sqft
37523289,8305 20th Ave,20783,Hyattsville,MD,38.99433,-76.97229,430000.0,3,4,1891.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,377700.0,9283.0,sqft
37453702,10302 Duke Of Wellington Ct,20772,Upper Marlboro,MD,38.74888,-76.81563,330000.0,3,3,1164.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,335000.0,0.32339302112029383,acres
37357190,7220 Oliver St,20706,Lanham,MD,38.9573,-76.88836,375000.0,2,5,950.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,281900.0,6133.0,sqft
37392593,6008 Tipton Dr,20748,Temple Hills,MD,38.80698,-76.92269,420000.0,4,4,1125.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,235900.0,0.2580578512396694,acres
37451933,10405 Beaver Knoll Dr,20772,Upper Marlboro,MD,38.75188,-76.82509,479900.0,3,4,2257.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,462600.0,0.2648989898989899,acres
37469085,5528 Helmont Dr,20745,Oxon Hill,MD,38.8122,-76.98052,408000.0,2,3,1135.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,340200.0,9508.0,sqft
515382,5500 D St SE,20019,Washington,DC,38.88306,-76.92273,374999.0,2,3,1360.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,325180.0,4000.0,sqft
37480402,7215 E Ridge Dr,20785,Landover,MD,38.91837,-76.88167,424900.0,2,4,2081.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,301800.0,6250.0,sqft
37478565,7902 Tyler St,20706,Lanham,MD,38.9362,-76.8723,439950.0,3,5,999.0,SINGLE_FAMILY,FOR_SALE,,False,False,True,False,False,USD,USA,289000.0,6544.0,sqft
